id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
495;Weapon;Fusebreaker Hurricane;36;Tradable;Ultra Rare;Any;170;World Mission: Fuse No More (Part 4 of 4);1;6 days 00:00:00;6 days 00:00:00;17625600
941;Chest;36Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;6 days 00:00:00;17625600
12;Back;Devil's Temptation;31;Tradable;Ultra Rare;Any;578;World Mission: The Thromnambular Saga (Part 9 of 9);1;5 days 01:04:03.013373850;5 days 01:04:03.013373850;14818662
933;Chest;34Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;781;World Mission: On the Precipice (Part 1 of 3);1;5 days 01:04:03.013373850;5 days 01:04:03.013373850;14818662
923;Chest;32Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;770;World Mission: Evil Takes Root  (Part 3 of 3);1;4 days 04:28:39.306095871;4 days 04:28:39.306095871;12298446
918;Chest;31Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;765;World Mission: All the World's a Stage  (Part 3 of 3);1;3 days 19:01:33.346467868;3 days 19:01:33.346467868;11141562
906;Chest;29Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3 days 01:43:04.308683819;9023056
907;Chest;29Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;441;World Mission: A Grave Mission;1;3 days 01:43:04.308683819;3 days 01:43:04.308683819;9023056
931;Chest;34Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2 days 12:32:01.506686925;7409348
932;Chest;34Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;778;World Mission: Gotta-Go! (Part 2 of 2) and 1 more;2;5 days 01:04:03.013373850;2 days 12:32:01.506686925;7409348
928;Chest;33Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2 days 07:14:32.335665270;6761648
926;Chest;33Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;774;World Mission: Chocolate Milk (Part 2 of 4) and 1 more;2;4 days 14:29:04.671330539;2 days 07:14:32.335665270;6761648
927;Chest;33Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;775;World Mission: Chocolate Milk (Part 3 of 4) and 1 more;2;4 days 14:29:04.671330539;2 days 07:14:32.335665270;6761648
921;Chest;32Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;768;World Mission: Evil Takes Root (Part 1 of 3) and 1 more;2;4 days 04:28:39.306095871;2 days 02:14:19.653047935;6149240
922;Chest;32Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;769;World Mission: Evil Takes Root  (Part 2 of 3) and 1 more;2;4 days 04:28:39.306095871;2 days 02:14:19.653047935;6149240
916;Chest;31Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;763;World Mission: All the World's a Stage  (Part 1 of 3) and 1 more;2;3 days 19:01:33.346467868;1 days 21:30:46.673233934;5570798
917;Chest;31Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;764;World Mission: All the World's a Stage  (Part 2 of 3) and 1 more;2;3 days 19:01:33.346467868;1 days 21:30:46.673233934;5570798
911;Chest;30Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;640;World Mission: Demonic Business (Part 2 of 4) and 1 more;2;3 days 10:06:33.221244553;1 days 17:03:16.610622276;5025098
912;Chest;30Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;758;World Mission: Rivals (Part 1 of 2) and 1 more;2;3 days 10:06:33.221244553;1 days 17:03:16.610622276;5025098
913;Chest;30Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;759;World Mission: Rivals (Part 2 of 2) and 1 more;2;3 days 10:06:33.221244553;1 days 17:03:16.610622276;5025098
892;Chest;26Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;386;World Mission: Kevin Help Us (Part 1 of 3) and 1 more;2;2 days 04:01:59.493096021;1 days 02:00:59.746548011;3184440
893;Chest;26Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;387;World Mission: Kevin Help Us (Part 2 of 3) and 1 more;2;2 days 04:01:59.493096021;1 days 02:00:59.746548011;3184440
69;Back;Ultimate Swampfire Tanks;20;Tradable;Rare;Any;922;World Mission: Echo Echo Encounter;1;0 days 22:58:55.865627035;0 days 22:58:55.865627035;2813024
221;Shoes;Closed Circuit Shoes;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
116;Shoes;Eduardo Zapatos;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
181;Shoes;Leopard Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
382;Shoes;Sapphire Angel Shoes;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
387;Shoes;Tech Camo Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
55;Weapon;Stardust Blade;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
543;Weapon;Neutrino Engine;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
896;Chest;27Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;392;World Mission: Fusion on the Mountain (Part 1 of 3) and 2 more;3;2 days 10:42:12.556392233;0 days 19:34:04.185464078;2395096
891;Chest;26Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;22;World Mission: Mutant Eggplants Attack! (Part 2 of 3) and 2 more;3;2 days 04:01:59.493096021;0 days 17:20:39.831032007;2122960
901;Chest;28Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;250;World Mission: Completing the Project (Part 1 of 3) and 3 more;4;2 days 17:49:53.037583691;0 days 16:27:28.259395922;2014432
902;Chest;28Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;637;World Mission: Going Berserk (Part 4 of 5) and 3 more;4;2 days 17:49:53.037583691;0 days 16:27:28.259395922;2014432
903;Chest;28Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;673;World Mission: Building a Better Monster (Part 2 of 4) and 3 more;4;2 days 17:49:53.037583691;0 days 16:27:28.259395922;2014432
886;Chest;25Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;23;World Mission: Chickens from Outer Space! (Part 1 of 3) and 2 more;3;1 days 22:01:55.526021405;0 days 15:20:38.508673802;1878126
887;Chest;25Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;383;World Mission: Don't Go, Coco (Part 2 of 4) and 2 more;3;1 days 22:01:55.526021405;0 days 15:20:38.508673802;1878126
897;Chest;27Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;393;World Mission: Fusion on the Mountain (Part 2 of 3) and 3 more;4;2 days 10:42:12.556392233;0 days 14:40:33.139098058;1796322
898;Chest;27Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;672;World Mission: Building a Better Monster (Part 1 of 4) and 3 more;4;2 days 10:42:12.556392233;0 days 14:40:33.139098058;1796322
866;Chest;21Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;244;World Mission: Stuff in Devil's Bluff (Part 1 of 3) and 1 more;2;1 days 02:44:50.277661830;0 days 13:22:25.138830915;1636930
867;Chest;21Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;245;World Mission: Stuff in Devil's Bluff (Part 2 of 3) and 1 more;2;1 days 02:44:50.277661830;0 days 13:22:25.138830915;1636930
868;Chest;21Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;246;World Mission: Stuff in Devil's Bluff (Part 3 of 3) and 1 more;2;1 days 02:44:50.277661830;0 days 13:22:25.138830915;1636930
876;Chest;23Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;247;World Mission: Where's Nowhere? (Part 1 of 3) and 2 more;3;1 days 11:27:27.478002438;0 days 11:49:09.159334146;1446666
877;Chest;23Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;248;World Mission: Where's Nowhere? (Part 2 of 3) and 2 more;3;1 days 11:27:27.478002438;0 days 11:49:09.159334146;1446666
878;Chest;23Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;351;World Mission: Dark Engine Days (Part 1 of 4) and 2 more;3;1 days 11:27:27.478002438;0 days 11:49:09.159334146;1446666
888;Chest;25Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;20;World Mission: Mutant Eggplants Attack! (Part 1 of 3) and 4 more;5;1 days 22:01:55.526021405;0 days 09:12:23.105204281;1126862
883;Chest;24Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;236;World Mission: Space Port Pickups (Part 2 of 2) and 4 more;5;1 days 16:26:37.408712203;0 days 08:05:19.481742441;990046
881;Chest;24Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;355;World Mission: Bet on Ben (Part 1 of 5) and 4 more;5;1 days 16:26:37.408712203;0 days 08:05:19.481742441;990046
882;Chest;24Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;235;World Mission: Space Port Pickups (Part 1 of 2) and 5 more;6;1 days 16:26:37.408712203;0 days 06:44:26.234785367;825044
857;Chest;19Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;332;World Mission: Don't Fear the Reaper (Part 2 of 4) and 2 more;3;0 days 19:40:21.658624547;0 days 06:33:27.219541516;802638
858;Chest;19Lv Mission CRATE Mission Reward;0;Tradable;Any;Any;612;World Mission: Head to Totem (Part 2 of 5) and 2 more;3;0 days 19:40:21.658624547;0 days 06:33:27.219541516;802638
35;Shirts;Glasgow Tunic;30;Tradable;Rare;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 06:23:38.434021025;782612
