id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
495;Weapon;Fusebreaker Hurricane;36;Tradable;Ultra Rare;Any;170;World Mission: Fuse No More (Part 4 of 4);1;6 days 00:00:00;6 days 00:00:00;3525120
12;Back;Devil's Temptation;31;Tradable;Ultra Rare;Any;578;World Mission: The Thromnambular Saga (Part 9 of 9);1;5 days 01:04:03.013373850;5 days 01:04:03.013373850;2963746
221;Shoes;Closed Circuit Shoes;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
116;Shoes;Eduardo Zapatos;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
181;Shoes;Leopard Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
382;Shoes;Sapphire Angel Shoes;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
387;Shoes;Tech Camo Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
55;Weapon;Stardust Blade;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
543;Weapon;Neutrino Engine;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
182;Hat;Snowman Head;1;Tradable;Ultra Rare;Any;1;Event: Knishmas;30;0 days 00:01:10;0 days 05:11:06.666666667;634678
178;Hat;Reindeer Antlers;1;Tradable;Common;Any;1;Event: Knishmas;30;0 days 00:01:10;0 days 05:11:06.666666667;634678
69;Back;Ultimate Swampfire Tanks;20;Tradable;Rare;Any;922;World Mission: Echo Echo Encounter;1;0 days 22:58:55.865627035;0 days 22:58:55.865627035;562598
115;Pants;Eduardo Pantalones;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
198;Pants;Leopard Pants;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
384;Pants;Sapphire Angel Leggings;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
389;Pants;Tech Camo Pants;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
152;Weapon;Asteroid Cutlass;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
359;Weapon;Glamour Rifle;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
416;Weapon;Reinforced Bio-Plasma Cannon;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
