id;type;name;level;tradable;rarity;gender;mob_id;mob_name;mobs_in_loop;mob_loop_time;time_till_item;approx_sell
24;Shoes;Edinburgh Boots;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
116;Shoes;Eduardo Zapatos;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
181;Shoes;Leopard Boots;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
221;Shoes;Closed Circuit Shoes;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
382;Shoes;Sapphire Angel Shoes;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
387;Shoes;Tech Camo Boots;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
55;Weapon;Stardust Blade;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
543;Weapon;Neutrino Engine;31;Tradable;Ultra Rare;Any;2111;Hyper Fusionfly;3;0 days 00:02:33.200000;1 days 01:33:32.012012;2760360
410;Weapon;Scorpion Stinger;30;Tradable;Rare;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 19:11:09.069069;2072070
200;Pants;Barbary Pants;30;Tradable;Rare;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 19:11:09.069069;2072070
35;Shirts;Glasgow Tunic;30;Tradable;Rare;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 19:11:09.069069;2072070
271;Weapon;Aquatic Vaporizer;30;Tradable;Rare;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 19:11:09.069069;2072070
318;Weapon;Super Scope Dragon;30;Tradable;Rare;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 19:11:09.069069;2072070
143;Hat;Master Hammerhead Hat;5;Not Tradable;Ultra Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
144;Hat;Bad Max Helmet;5;Not Tradable;Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
616;Shirts;Ultra Bad Max Jacket;9;Not Tradable;Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
531;Shoes;Ultra Bad Max Boots;9;Not Tradable;Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
704;Weapon;Ultra Master Screwdriver Blade;9;Not Tradable;Ultra Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
705;Weapon;Ultra Bad Max Concussor;9;Not Tradable;Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
524;Pants;Ultra Bad Max Pants;9;Not Tradable;Rare;Any;461;Bad Max;1;0 days 01:00:10.400000;0 days 11:01:54.400000;1191420
55;Glass;Don Doom Scouter;4;Not Tradable;Ultra Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
533;Shoes;Ultra Super Slayer Boots;9;Not Tradable;Ultra Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
526;Pants;Ultra Super Slayer Pants;9;Not Tradable;Ultra Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
618;Shirts;Ultra Super Slayer Shirt;9;Not Tradable;Ultra Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
617;Shirts;Ultra Don Doom Shirt;7;Not Tradable;Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
525;Pants;Ultra Don Doom Pants;7;Not Tradable;Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
708;Weapon;Ultra Super Slayer Slasher;9;Not Tradable;Ultra Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
54;Glass;Master Toxic Mask;4;Not Tradable;Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
706;Weapon;Ultra Master Spiral Spreader;7;Not Tradable;Ultra Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
707;Weapon;Ultra Don Doom Chemgun;7;Not Tradable;Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
532;Shoes;Ultra Don Doom Boots;7;Not Tradable;Rare;Any;454;Don Doom;1;0 days 01:00:08.800000;0 days 11:01:36.800000;1190910
65;Shoes;Colorful Kicks (Boys);30;Tradable;Uncommon;Boys Only;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 08:38:01.081081;932430
249;Shirts;Mitch Rocks Tee;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
552;Weapon;Electric Spear;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
260;Pants;Kingly Trousers;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
228;Shoes;Military Boots;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
267;Shoes;Daredevil Shoes;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
25;Weapon;Classic Lemonade Grenade;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
213;Weapon;Smelly Goomaker;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
376;Weapon;Fullbore Bazooka;30;Tradable;Uncommon;Any;38;Fusion Numbuh Four;1;0 days 00:03:04;0 days 07:40:27.627628;828840
416;Weapon;Reinforced Bio-Plasma Cannon;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
198;Pants;Leopard Pants;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
115;Pants;Eduardo Pantalones;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
29;Pants;Edinburgh Pants;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
152;Weapon;Asteroid Cutlass;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
384;Pants;Sapphire Angel Leggings;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
359;Weapon;Glamour Rifle;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
389;Pants;Tech Camo Pants;32;Tradable;Ultra Rare;Any;439;Ghastly Growth;20;0 days 00:02:54.441534;0 days 05:32:36.131401;598680
245;Shirts;Open Circuit Shirt;36;Tradable;Ultra Rare;Any;2464;Stalactitan;16;0 days 00:02:33.200000;0 days 03:45:31.178237;405930
385;Pants;Amethyst Angel Leggings;36;Tradable;Ultra Rare;Any;2464;Stalactitan;16;0 days 00:02:33.200000;0 days 03:45:31.178237;405930
361;Weapon;Couture Rifle;36;Tradable;Ultra Rare;Any;2464;Stalactitan;16;0 days 00:02:33.200000;0 days 03:45:31.178237;405930
205;Shirts;Jungle Shirt;36;Tradable;Ultra Rare;Any;2464;Stalactitan;16;0 days 00:02:33.200000;0 days 03:45:31.178237;405930
242;Shoes;Taijutsu Sneaks;36;Tradable;Ultra Rare;Any;2464;Stalactitan;16;0 days 00:02:33.200000;0 days 03:45:31.178237;405930
61;Hat;Giga Shield Helmet;36;Tradable;Ultra Rare;Any;2458;Meteoric Guardian;20;0 days 00:03:02.175006;0 days 03:37:05.525947;390780
154;Weapon;Infinity Cutlass;36;Tradable;Ultra Rare;Any;2458;Meteoric Guardian;20;0 days 00:03:02.175006;0 days 03:37:05.525947;390780
38;Shirts;Ben 10 Jacket;36;Tradable;Ultra Rare;Any;2458;Meteoric Guardian;20;0 days 00:03:02.175006;0 days 03:37:05.525947;390780
61;Pants;Cannonbolt Leggings;36;Tradable;Ultra Rare;Any;2458;Meteoric Guardian;20;0 days 00:03:02.175006;0 days 03:37:05.525947;390780
89;Shirts;Giga Shield Shirt;36;Tradable;Ultra Rare;Any;2458;Meteoric Guardian;20;0 days 00:03:02.175006;0 days 03:37:05.525947;390780
545;Weapon;Quark Engine;35;Tradable;Ultra Rare;Any;2323;Slag Cephalopod;19;0 days 00:02:43.879200;0 days 03:25:03.243277;369090
260;Shirts;Taijutsu Shirt;35;Tradable;Ultra Rare;Any;2323;Slag Cephalopod;19;0 days 00:02:43.879200;0 days 03:25:03.243277;369090
1;Shirts;Gangreen Gang Ace Jacket;35;Tradable;Ultra Rare;Any;2323;Slag Cephalopod;19;0 days 00:02:43.879200;0 days 03:25:03.243277;369090
51;Shoes;Cannonbolt Combat Boots;35;Tradable;Ultra Rare;Any;2323;Slag Cephalopod;19;0 days 00:02:43.879200;0 days 03:25:03.243277;369090
82;Pants;Giga Shield Pants;35;Tradable;Ultra Rare;Any;2323;Slag Cephalopod;19;0 days 00:02:43.879200;0 days 03:25:03.243277;369090
118;Shoes;Neutron Boots;25;Tradable;Ultra Rare;Any;416;Brackish Beast;22;0 days 00:03:04.489332;0 days 03:20:43.956922;361320
128;Shirts;Brigadier Shirt;25;Tradable;Ultra Rare;Any;416;Brackish Beast;22;0 days 00:03:04.489332;0 days 03:20:43.956922;361320
370;Shirts;Tutankhamun Shirt;25;Tradable;Ultra Rare;Any;416;Brackish Beast;22;0 days 00:03:04.489332;0 days 03:20:43.956922;361320
535;Weapon;Val Hallen's Hammer;25;Tradable;Ultra Rare;Any;416;Brackish Beast;22;0 days 00:03:04.489332;0 days 03:20:43.956922;361320
88;Hat;Coco Palm Tree Headpiece;25;Tradable;Ultra Rare;Any;416;Brackish Beast;22;0 days 00:03:04.489332;0 days 03:20:43.956922;361320
234;Pants;Mercury Pants;30;Tradable;Ultra Rare;Any;244;Stone Drake;21;0 days 00:02:30.800000;0 days 02:51:32.110292;308760
66;Shirts;Coco Plane Top;30;Tradable;Ultra Rare;Any;244;Stone Drake;21;0 days 00:02:30.800000;0 days 02:51:32.110292;308760
151;Weapon;Rocket Cutlass;30;Tradable;Ultra Rare;Any;244;Stone Drake;21;0 days 00:02:30.800000;0 days 02:51:32.110292;308760
