id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
76;Hat;Motorcycle Helmet;5;Tradable;Uncommon;Any;26;Egg: 10Lv Item shiny Salvage;1;0 days 00:30:00;0 days 10:00:00;1224000
30;Hat;Pirate Hat;1;Tradable;Uncommon;Any;26;Egg: 10Lv Item shiny Salvage;1;0 days 00:30:00;0 days 10:00:00;1224000
9;Back;Bladed Cloak;13;Tradable;Rare;Any;33;Egg: 13Lv Item shiny City Station, Amusement;1;0 days 00:30:00;0 days 10:00:00;1224000
30;Glass;Orlando Bloo Disguise;9;Tradable;Rare;Any;33;Egg: 13Lv Item shiny City Station, Amusement;1;0 days 00:30:00;0 days 10:00:00;1224000
6;Hat;Barbarian Helmet;9;Tradable;Rare;Any;33;Egg: 13Lv Item shiny City Station, Amusement;1;0 days 00:30:00;0 days 10:00:00;1224000
12;Hat;Brainstorm Helmet;9;Tradable;Ultra Rare;Any;33;Egg: 13Lv Item shiny City Station, Amusement;1;0 days 00:30:00;0 days 10:00:00;1224000
32;Hat;Rainbow Monkey Helmet;5;Tradable;Common;Any;33;Egg: 13Lv Item shiny City Station, Amusement;1;0 days 00:30:00;0 days 10:00:00;1224000
27;Back;Major Glory Cape;13;Tradable;Ultra Rare;Any;35;Egg: 15Lv Item shiny Sunken Mall;1;0 days 00:30:00;0 days 10:00:00;1224000
9;Glass;Cyber Goggles;13;Tradable;Rare;Any;35;Egg: 15Lv Item shiny Sunken Mall;1;0 days 00:30:00;0 days 10:00:00;1224000
36;Glass;Billy Nose;13;Tradable;Common;Any;35;Egg: 15Lv Item shiny Sunken Mall;1;0 days 00:30:00;0 days 10:00:00;1224000
93;Hat;Jeff Helmet;9;Tradable;Rare;Any;35;Egg: 15Lv Item shiny Sunken Mall;1;0 days 00:30:00;0 days 10:00:00;1224000
