id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
61;Pants;Cannonbolt Leggings;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
38;Shirts;Ben 10 Jacket;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
89;Shirts;Giga Shield Shirt;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
154;Weapon;Infinity Cutlass;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
385;Pants;Amethyst Angel Leggings;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
242;Shoes;Taijutsu Sneaks;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
205;Shirts;Jungle Shirt;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
245;Shirts;Open Circuit Shirt;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
361;Weapon;Couture Rifle;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
406;Shirts;Tech Tactical Shirt;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
418;Weapon;Massive Bio-Plasma Cannon;36;Tradable;Ultra Rare;Any;649;World Mission: Wielding the Master Weapon (Part 3 of 3);1;6 days 00:00:00;7200 days 00:00:00;21150720000
28;Pants;Lowlander Pants;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
67;Pants;Coco Plane Pants;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
217;Shoes;Mercury Shoes;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
53;Weapon;Stellar Blade;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
26;Hat;Battle Beret;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
3;Back;Angel's Prayer;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
373;Shoes;Layered Shoes;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
515;Weapon;Bullhead Leviathan;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
11;Back;Devil Wings;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
542;Weapon;Electro Engine;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
45;Glass;High Seas Captain;29;Tradable;Ultra Rare;Any;395;World Mission: Critical Mission (Part 1 of 2);1;3 days 01:43:04.308683819;3378 days 17:38:59.552201450;9925373160
60;Shirts;Cannonbolt Armor;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
401;Shirts;Amethyst Angel Shirt;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
153;Weapon;Orbital Cutlass;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
249;Pants;Taijutsu Pants;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
388;Shoes;Tech Tactical Boots;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
360;Weapon;Fashion Rifle;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
80;Shoes;Giga Shield Boots;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
182;Shoes;Jungle Boots;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
222;Shoes;Open Circuit Shoes;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
417;Weapon;Tactical Bio-Plasma Cannon;34;Tradable;Ultra Rare;Any;777;World Mission: Gotta-Go! (Part 1 of 2) and 1 more;2;5 days 01:04:03.013373850;2522 days 05:45:06.686925024;7409331238
56;Weapon;Galactic Blade;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
204;Shirts;Leopard Shirt;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
405;Shirts;Tech Camo Shirt;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
517;Weapon;Hammerhead Leviathan;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
78;Hat;Taijutsu Hood;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
34;Shirts;Edinburgh Tunic;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
122;Shirts;Eduardo Vest;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
400;Shirts;Sapphire Angel Shirt;33;Tradable;Ultra Rare;Any;773;World Mission: Chocolate Milk  (Part 1 of 4) and 1 more;2;4 days 14:29:04.671330539;2301 days 18:18:55.665269732;6761659424
