id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
24;Shoes;Edinburgh Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
116;Shoes;Eduardo Zapatos;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
181;Shoes;Leopard Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
221;Shoes;Closed Circuit Shoes;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
382;Shoes;Sapphire Angel Shoes;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
387;Shoes;Tech Camo Boots;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
55;Weapon;Stardust Blade;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
543;Weapon;Neutrino Engine;31;Tradable;Ultra Rare;Any;2111;Mob: Hyper Fusionfly;3;0 days 00:02:33.200000;0 days 20:02:46.283930990;2453644
200;Pants;Barbary Pants;30;Tradable;Rare;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 06:23:38.434021025;782612
35;Shirts;Glasgow Tunic;30;Tradable;Rare;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 06:23:38.434021025;782612
271;Weapon;Aquatic Vaporizer;30;Tradable;Rare;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 06:23:38.434021025;782612
318;Weapon;Super Scope Dragon;30;Tradable;Rare;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 06:23:38.434021025;782612
410;Weapon;Scorpion Stinger;30;Tradable;Rare;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 06:23:38.434021025;782612
65;Shoes;Colorful Kicks (Boys);30;Tradable;Uncommon;Boy;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:40:58.219072241;573172
260;Pants;Kingly Trousers;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
228;Shoes;Military Boots;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
267;Shoes;Daredevil Shoes;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
249;Shirts;Mitch Rocks Tee;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
25;Weapon;Classic Lemonade Grenade;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
213;Weapon;Smelly Goomaker;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
376;Weapon;Fullbore Bazooka;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
552;Weapon;Electric Spear;30;Tradable;Uncommon;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 04:09:45.083619770;509490
29;Pants;Edinburgh Pants;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
115;Pants;Eduardo Pantalones;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
198;Pants;Leopard Pants;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
384;Pants;Sapphire Angel Leggings;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
389;Pants;Tech Camo Pants;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
152;Weapon;Asteroid Cutlass;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
359;Weapon;Glamour Rifle;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
416;Weapon;Reinforced Bio-Plasma Cannon;32;Tradable;Ultra Rare;Any;439;Mob: Ghastly Growth;20;0 days 00:02:54.441533612;0 days 03:25:25.845865547;419084
554;Chest;30Lv CRATE SOOPER DOOPER;0;Tradable;Any;Any;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 03:04:11.051051051;375734
385;Pants;Amethyst Angel Leggings;36;Tradable;Ultra Rare;Any;2455;Mob: Scoria Cephalopod;33;0 days 00:05:13.655269188;0 days 02:19:54.899423166;285430
242;Shoes;Taijutsu Sneaks;36;Tradable;Ultra Rare;Any;2455;Mob: Scoria Cephalopod;33;0 days 00:05:13.655269188;0 days 02:19:54.899423166;285430
205;Shirts;Jungle Shirt;36;Tradable;Ultra Rare;Any;2455;Mob: Scoria Cephalopod;33;0 days 00:05:13.655269188;0 days 02:19:54.899423166;285430
245;Shirts;Open Circuit Shirt;36;Tradable;Ultra Rare;Any;2455;Mob: Scoria Cephalopod;33;0 days 00:05:13.655269188;0 days 02:19:54.899423166;285430
361;Weapon;Couture Rifle;36;Tradable;Ultra Rare;Any;2455;Mob: Scoria Cephalopod;33;0 days 00:05:13.655269188;0 days 02:19:54.899423166;285430
61;Pants;Cannonbolt Leggings;36;Tradable;Ultra Rare;Any;2458;Mob: Meteoric Guardian;20;0 days 00:03:02.175005897;0 days 02:14:05.177790915;273530
38;Shirts;Ben 10 Jacket;36;Tradable;Ultra Rare;Any;2458;Mob: Meteoric Guardian;20;0 days 00:03:02.175005897;0 days 02:14:05.177790915;273530
89;Shirts;Giga Shield Shirt;36;Tradable;Ultra Rare;Any;2458;Mob: Meteoric Guardian;20;0 days 00:03:02.175005897;0 days 02:14:05.177790915;273530
154;Weapon;Infinity Cutlass;36;Tradable;Ultra Rare;Any;2458;Mob: Meteoric Guardian;20;0 days 00:03:02.175005897;0 days 02:14:05.177790915;273530
61;Hat;Giga Shield Helmet;36;Tradable;Ultra Rare;Any;2458;Mob: Meteoric Guardian;20;0 days 00:03:02.175005897;0 days 02:14:05.177790915;273530
82;Pants;Giga Shield Pants;35;Tradable;Ultra Rare;Any;2323;Mob: Slag Cephalopod;19;0 days 00:02:43.879200447;0 days 02:06:58.107292123;259012
51;Shoes;Cannonbolt Combat Boots;35;Tradable;Ultra Rare;Any;2323;Mob: Slag Cephalopod;19;0 days 00:02:43.879200447;0 days 02:06:58.107292123;259012
1;Shirts;Gangreen Gang Ace Jacket;35;Tradable;Ultra Rare;Any;2323;Mob: Slag Cephalopod;19;0 days 00:02:43.879200447;0 days 02:06:58.107292123;259012
260;Shirts;Taijutsu Shirt;35;Tradable;Ultra Rare;Any;2323;Mob: Slag Cephalopod;19;0 days 00:02:43.879200447;0 days 02:06:58.107292123;259012
545;Weapon;Quark Engine;35;Tradable;Ultra Rare;Any;2323;Mob: Slag Cephalopod;19;0 days 00:02:43.879200447;0 days 02:06:58.107292123;259012
118;Shoes;Neutron Boots;25;Tradable;Ultra Rare;Any;416;Mob: Brackish Beast;22;0 days 00:03:04.489332124;0 days 02:03:26.711475827;251838
128;Shirts;Brigadier Shirt;25;Tradable;Ultra Rare;Any;416;Mob: Brackish Beast;22;0 days 00:03:04.489332124;0 days 02:03:26.711475827;251838
370;Shirts;Tutankhamun Shirt;25;Tradable;Ultra Rare;Any;416;Mob: Brackish Beast;22;0 days 00:03:04.489332124;0 days 02:03:26.711475827;251838
535;Weapon;Val Hallen's Hammer;25;Tradable;Ultra Rare;Any;416;Mob: Brackish Beast;22;0 days 00:03:04.489332124;0 days 02:03:26.711475827;251838
88;Hat;Coco Palm Tree Headpiece;25;Tradable;Ultra Rare;Any;416;Mob: Brackish Beast;22;0 days 00:03:04.489332124;0 days 02:03:26.711475827;251838
331;Shoes;Improved Athena Mid-Boot (Girls);30;Tradable;Common;Girl;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 01:49:57.878006555;224332
231;Shirts;Superior Meow Hoodie (Girls);30;Tradable;Common;Girl;38;Mob: Fusion Numbuh Four;1;0 days 00:03:04;0 days 01:49:57.878006555;224332
234;Pants;Mercury Pants;30;Tradable;Ultra Rare;Any;244;Mob: Stone Drake;21;0 days 00:02:30.800000;0 days 01:45:42.476930712;215628
33;Shirts;Lowlander Tunic;30;Tradable;Ultra Rare;Any;244;Mob: Stone Drake;21;0 days 00:02:30.800000;0 days 01:45:42.476930712;215628
