id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
11;Glass;Action Blindfold;1;Tradable;Ultra Rare;Any;1;Racing: KND Training Area (F);1;0 days 00:01:40;0 days 05:33:20;680000
44;Hat;Evil Clown Head;1;Tradable;Ultra Rare;Any;1;Racing: KND Training Area (F);1;0 days 00:01:40;0 days 05:33:20;680000
399;Shirts;Freezer Shirt;10;Tradable;Rare;Any;11;Racing: Megas' Last Stand;1;0 days 00:30:20;0 days 01:31:00;185640
383;Pants;Freezer Pants;11;Tradable;Rare;Any;11;Racing: Megas' Last Stand;1;0 days 00:30:20;0 days 01:31:00;185640
381;Shoes;Freezer Boots;12;Tradable;Rare;Any;11;Racing: Megas' Last Stand;1;0 days 00:30:20;0 days 01:31:00;185640
17;Glass;S.M.E.L.L.M.E.T.;1;Tradable;Rare;Any;1;Racing: KND Training Area (F);1;0 days 00:01:40;0 days 01:14:04.444444444;151096
24;Glass;Jetray Mask;1;Tradable;Rare;Any;1;Racing: KND Training Area (F);1;0 days 00:01:40;0 days 01:14:04.444444444;151096
42;Glass;High Seas Swabbie;1;Tradable;Rare;Any;1;Racing: KND Training Area (F);1;0 days 00:01:40;0 days 01:14:04.444444444;151096
108;Hat;Dark Avenger Helmet;1;Tradable;Rare;Any;1;Racing: KND Training Area (F);1;0 days 00:01:40;0 days 01:14:04.444444444;151096
117;Shoes;Electron Boots;22;Tradable;Ultra Rare;Any;24;Racing: Hani-Baba Temple;1;0 days 00:23:15;0 days 01:09:45;142290
123;Shirts;Electron Shirt;24;Tradable;Ultra Rare;Any;24;Racing: Hani-Baba Temple;1;0 days 00:23:15;0 days 01:09:45;142290
24;Shoes;Edinburgh Boots;31;Tradable;Ultra Rare;Any;33;Racing: Green Gullet;1;0 days 00:19:20;0 days 00:58:00;118320
29;Pants;Edinburgh Pants;32;Tradable;Ultra Rare;Any;33;Racing: Green Gullet;1;0 days 00:19:20;0 days 00:58:00;118320
34;Shirts;Edinburgh Tunic;33;Tradable;Ultra Rare;Any;33;Racing: Green Gullet;1;0 days 00:19:20;0 days 00:58:00;118320
118;Shoes;Neutron Boots;25;Tradable;Ultra Rare;Any;27;Racing: Nowhere Triangle;1;0 days 00:19:00;0 days 00:57:00;116280
117;Pants;Neutron Pants;26;Tradable;Ultra Rare;Any;27;Racing: Nowhere Triangle;1;0 days 00:19:00;0 days 00:57:00;116280
124;Shirts;Neutron Shirt;27;Tradable;Ultra Rare;Any;27;Racing: Nowhere Triangle;1;0 days 00:19:00;0 days 00:57:00;116280
389;Shirts;Mock 5 Jacket;4;Tradable;Rare;Any;4;Racing: Delightful Developments (F);1;0 days 00:18:55;0 days 00:56:45;115770
373;Pants;Mock 5 Pants;5;Tradable;Rare;Any;4;Racing: Delightful Developments (F);1;0 days 00:18:55;0 days 00:56:45;115770
371;Shoes;Mock 5 Shoes;6;Tradable;Rare;Any;4;Racing: Delightful Developments (F);1;0 days 00:18:55;0 days 00:56:45;115770
1095;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;31;Racing: Inferno Fields;1;0 days 00:55:10;0 days 00:55:10;112540
1005;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;13;Racing: Reactor Works;1;0 days 00:51:05;0 days 00:51:05;104210
1065;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;25;Racing: Tyrannical Gardens;1;0 days 00:51:00;0 days 00:51:00;104040
356;Shoes;Sentinel Boots;11;Tradable;Uncommon;Any;11;Racing: Megas' Last Stand;1;0 days 00:15:54;0 days 00:47:42;97308
350;Pants;Sentinel Pants;12;Tradable;Uncommon;Any;11;Racing: Megas' Last Stand;1;0 days 00:15:54;0 days 00:47:42;97308
374;Shirts;Sentinel Shirt;13;Tradable;Uncommon;Any;11;Racing: Megas' Last Stand;1;0 days 00:15:54;0 days 00:47:42;97308
1070;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;26;Racing: Skypad Space Port;1;0 days 00:47:10;0 days 00:47:10;96220
38;Pants;Zak Skate Shorts;13;Tradable;Rare;Any;14;Racing: Charles Darwin Middle School;1;0 days 00:15:30;0 days 00:46:30;94860
50;Shirts;Zak Skate Shirt;14;Tradable;Rare;Any;14;Racing: Charles Darwin Middle School;1;0 days 00:15:30;0 days 00:46:30;94860
33;Shoes;Zak Skate Sneakers;15;Tradable;Rare;Any;14;Racing: Charles Darwin Middle School;1;0 days 00:15:30;0 days 00:46:30;94860
1100;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;32;Racing: Dark Tree Clearing;1;0 days 00:43:30;0 days 00:43:30;88740
1045;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;21;Racing: Sand Castle;1;0 days 00:41:35;0 days 00:41:35;84830
242;Shirts;Breakneck Shirt;27;Tradable;Rare;Any;27;Racing: Nowhere Triangle;1;0 days 00:13:22;0 days 00:40:06;81804
219;Shoes;Breakneck Boots;28;Tradable;Rare;Any;27;Racing: Nowhere Triangle;1;0 days 00:13:22;0 days 00:40:06;81804
236;Pants;Breakneck Pants;29;Tradable;Rare;Any;27;Racing: Nowhere Triangle;1;0 days 00:13:22;0 days 00:40:06;81804
1000;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;12;Racing: The Boneyard;1;0 days 00:40:05;0 days 00:40:05;81770
1080;Chest;Infected Zone CRATE RANK 1;0;Tradable;Any;Any;28;Racing: The Canopy;1;0 days 00:34:45;0 days 00:34:45;70890
255;Shoes;Bubbles Dynamo Boots;20;Tradable;Ultra Rare;Any;20;Racing: Cutts and Bruises Skate Park;1;0 days 00:11:15;0 days 00:33:45;68850
254;Pants;Bubbles Dynamo Legs;21;Tradable;Ultra Rare;Any;20;Racing: Cutts and Bruises Skate Park;1;0 days 00:11:15;0 days 00:33:45;68850
273;Shirts;Bubbles Dynamo Torso;22;Tradable;Ultra Rare;Any;20;Racing: Cutts and Bruises Skate Park;1;0 days 00:11:15;0 days 00:33:45;68850
57;Shoes;Coco Bird Feet;28;Tradable;Ultra Rare;Any;30;Racing: Dinosaur Graveyard;1;0 days 00:11:05;0 days 00:33:15;67830
67;Pants;Coco Plane Pants;29;Tradable;Ultra Rare;Any;30;Racing: Dinosaur Graveyard;1;0 days 00:11:05;0 days 00:33:15;67830
66;Shirts;Coco Plane Top;30;Tradable;Ultra Rare;Any;30;Racing: Dinosaur Graveyard;1;0 days 00:11:05;0 days 00:33:15;67830
48;Shirts;Nosegrind Shirt;16;Tradable;Rare;Any;18;Racing: Loch Mess;1;0 days 00:10:35;0 days 00:31:45;64770
31;Shoes;Nosegrind Sneaks;17;Tradable;Rare;Any;18;Racing: Loch Mess;1;0 days 00:10:35;0 days 00:31:45;64770
