id;type;name;level;tradable;rarity;gender;src_id;src_name;srcs_in_loop;src_loop_time;time_till_item;approx_taros
3;Back;Angel's Prayer;29;Tradable;Ultra Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:51:45.882352941;228004
11;Back;Devil Wings;29;Tradable;Ultra Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:51:45.882352941;228004
45;Glass;High Seas Captain;29;Tradable;Ultra Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:51:45.882352941;228004
26;Hat;Battle Beret;29;Tradable;Ultra Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:51:45.882352941;228004
78;Hat;Taijutsu Hood;33;Tradable;Ultra Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:51:45.882352941;228004
61;Hat;Giga Shield Helmet;36;Tradable;Ultra Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:51:45.882352941;228004
640;Shirts;Benmummy Shirt;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
641;Shirts;Benwolf Shirt;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
642;Shirts;Benviktor Shirt;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
543;Pants;Benmummy Pants;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
544;Pants;Benwolf Pants;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
545;Pants;Benviktor Pants;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
550;Shoes;Benmummy Shoes;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
551;Shoes;Benwolf Feet;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
552;Shoes;Benviktor Boots;4;Tradable;Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 01:22:57.375565611;169218
69;Hat;Speedster Helmet;21;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
79;Hat;Jojutsu Hood;21;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
102;Hat;Green Dynamo Helmet;21;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
35;Hat;Snowboard Cap;22;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
51;Hat;XLR8 Speed Helmet;25;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
56;Hat;Chromastone Helmet;12;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
88;Hat;Coco Palm Tree Headpiece;25;Tradable;Ultra Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 01:00:23.529411765;123216
86;Hat;Sara Bellum Wig;29;Tradable;Common;Girl;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:42:57.030812325;87618
643;Shirts;Fusion Wraith Shirt;0;Tradable;Ultra Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 00:42:01.008403361;85714
546;Pants;Fusion Wraith Pants;0;Tradable;Ultra Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 00:42:01.008403361;85714
553;Shoes;Fusion Wraith Shoes;0;Tradable;Ultra Rare;Any;3267;Vendor: Dracula;1;0 days 00:00:01;0 days 00:42:01.008403361;85714
1;Back;Angel Wings;29;Tradable;Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:41:05.397923875;83810
44;Glass;High Seas Raider;29;Tradable;Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:41:05.397923875;83810
20;Hat;Eduardo Horned Helmet;29;Tradable;Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:41:05.397923875;83810
25;Hat;Military Beret;29;Tradable;Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:41:05.397923875;83810
2;Back;Archangel Wings;33;Tradable;Rare;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:41:05.397923875;83810
46;Back;Uniscorn Cape;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
39;Glass;Xtreme Snowboard Goggles;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
27;Hat;Truffles Hat;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
28;Hat;Sailor Cap;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
59;Hat;Cyber Shield Helmet;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
62;Hat;Dinobonoid Helmet;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
70;Hat;Johnny Hair;29;Tradable;Common;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:37:34.901960784;76670
3;Glass;Aku's Flaming Eye;29;Tradable;Uncommon;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:32:59.913916786;67320
60;Hat;Hyper Shield Helmet;29;Tradable;Uncommon;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:32:59.913916786;67320
68;Hat;Superhero Cowl;29;Tradable;Uncommon;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:32:59.913916786;67320
80;Hat;Kenjutsu Hood;29;Tradable;Uncommon;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:32:59.913916786;67320
40;Glass;Xtra Xtreme Goggles;33;Tradable;Uncommon;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:32:59.913916786;67320
81;Hat;Genjutsu Hood;33;Tradable;Uncommon;Any;3217;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:32:59.913916786;67320
11;Glass;Action Blindfold;1;Tradable;Ultra Rare;Any;3213;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:35.294117647;62390
44;Hat;Evil Clown Head;1;Tradable;Ultra Rare;Any;3213;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:35.294117647;62390
26;Glass;Lucky Girl Mask;21;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
38;Glass;Xtreme Ski Goggles;21;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
43;Glass;High Seas Buccaneer;21;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
50;Hat;Extraterrestrial Beanie;21;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
5;Hat;Eagle Headdress;25;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
58;Hat;Mecha Shield Helmet;25;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
77;Hat;Ninjutsu Hood;25;Tradable;Rare;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:30:16.608996540;61778
26;Back;Dark Avenger Cape;13;Tradable;Ultra Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:23:31.764705882;48008
27;Back;Major Glory Cape;13;Tradable;Ultra Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:23:31.764705882;48008
15;Glass;Space Cop Mask;13;Tradable;Ultra Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:23:31.764705882;48008
23;Hat;Hector Helmet;13;Tradable;Ultra Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:23:31.764705882;48008
95;Hat;Tutankhamun Headpiece;17;Tradable;Ultra Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:23:31.764705882;48008
99;Hat;Blue Dynamo Helmet;17;Tradable;Ultra Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:23:31.764705882;48008
25;Glass;Scouter Lens;21;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
49;Hat;Alien Beanie;21;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
66;Hat;Fred Fredburger Mask;21;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
91;Hat;Skull Helmet;21;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
57;Hat;Mega Shield Helmet;23;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
41;Back;Ornamental Cloak;25;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
19;Hat;Sheriff Hat;25;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
75;Hat;Monkey Helmet;25;Tradable;Uncommon;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:31.248206600;43894
35;Glass;Ski Goggles;21;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
3;Hat;Bear Headdress;21;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
4;Hat;Wolf Headdress;21;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
17;Hat;Buckaroo Hat;21;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
22;Hat;Frog Hat;21;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
10;Glass;Eustace's Fright Mask;25;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
37;Glass;Snowboard Goggles;25;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
18;Hat;Rawhide Hat;25;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
47;Hat;Hammer Hat;25;Tradable;Common;Any;3216;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:21:00.504201680;42874
6;Back;Butterfly Wings;5;Tradable;Ultra Rare;Any;3214;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:20:35.294117647;41990
8;Back;Dark Cloak;5;Tradable;Ultra Rare;Any;3214;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:20:35.294117647;41990
21;Back;Nergal Tendrils;5;Tradable;Ultra Rare;Any;3214;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:20:35.294117647;41990
27;Glass;Major Glory Mask;9;Tradable;Ultra Rare;Any;3214;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:20:35.294117647;41990
12;Hat;Brainstorm Helmet;9;Tradable;Ultra Rare;Any;3214;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:20:35.294117647;41990
96;Hat;Uniscorn Helmet;9;Tradable;Ultra Rare;Any;3214;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:20:35.294117647;41990
62;Glass;Upchuck Mouth;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
193;Hat;Ship Mechomorph Helmet;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
198;Hat;Armordrillo Helmet;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
204;Hat;Water Hazard Helmet;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
205;Hat;Swampfire Helmet;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
200;Hat;Lodestar Helmet;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
231;Hat;Necrofriggian Head;1;Tradable;Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:18:28.597285068;37706
186;Hat;Nanomech Head;1;Tradable;Ultra Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:14:42.352941176;29988
229;Hat;Ultimate Echo Echo Head;1;Tradable;Ultra Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:14:42.352941176;29988
230;Hat;Ultimate Big Chill Helmet;1;Tradable;Ultra Rare;Any;3539;Vendor: Mechomorph E.G.G.E.R.;1;0 days 00:00:01;0 days 00:14:42.352941176;29988
9;Back;Bladed Cloak;13;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
9;Glass;Cyber Goggles;13;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
32;Glass;Pirate's Eye Patch;13;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
2;Hat;Fox Headdress;13;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
84;Hat;Doyle Mask;13;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
10;Back;Tribal Cloak;17;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
29;Glass;Mask of Ah Puk;17;Tradable;Rare;Any;3215;Vendor: E.G.G.E.R.;1;0 days 00:00:01;0 days 00:13:50.449826990;28220
